sheet_name,rows,token,ticker,first_date,last_date,valid_schema,missing_required_columns,valid_date_count,date_parse_rate
assai,28,ASSAI,assai,2025-01-08T00:00:00,2025-02-04T00:00:00,True,,28,1.0
astheria,45,Astheria,heria,2024-12-22T00:00:00,2025-02-04T00:00:00,True,,45,1.0
astropepex,86,AstroPepeX,apx,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
atabyvirtuals,28,atabyvirtuals,,,,True,,0,0.0
atehun,50,atehun,,,,True,,0,0.0
auraonsol,86,aura,aura,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
auroraterminal,77,Aurora,aurora,2024-11-20T00:00:00,2025-02-04T00:00:00,True,,77,1.0
autism2,86,autism,autism,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
autist,53,autist,,,,True,,0,0.0
autonomousvirtualbeings,86,Autonomous Virtual Beings,avb,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
avaai,69,Ava AI,ava,2024-11-28T00:00:00,2025-02-04T00:00:00,True,,69,1.0
avachiangmainightsafariava,70,AVA Chiang Mai Night Safari (AVA),ava,2024-11-27T00:00:00,2025-02-04T00:00:00,True,,70,1.0
avaxhasnochill,86,AVAX HAS NO CHILL,nochill,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
avocato,78,Avocato,ato,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
axi,46,AXI,axi,2024-12-21T00:00:00,2025-02-04T00:00:00,True,,46,1.0
axol,86,axol,,,,True,,0,0.0
babybitcoin2,83,Baby BitCoin,babybtc,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
babybnb,86,Baby BNB,babybnb,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babybonk,86,BabyBonk,babybonk,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babydragonx,86,Baby DragonX,bdx,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babyfwog,26,Baby Fwog,babyfwog,2025-01-10T00:00:00,2025-02-04T00:00:00,True,,26,1.0
babygrok,86,Baby Grok,babygrok,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babyneiro2,86,Baby Neiro,babyneiro,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babyneirotoken,86,Baby Neiro Token,babyneiro,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
babypengu,0,babypengu,,,,True,,0,0.0
babypepe3,45,Baby Pepe,babypepe,2024-12-22T00:00:00,2025-02-04T00:00:00,True,,45,1.0
babypnut2,71,Baby Pnut,babypnut,2024-11-26T00:00:00,2025-02-04T00:00:00,True,,71,1.0
babysharkmeme,22,Baby Shark Meme,babyshark,2025-01-14T00:00:00,2025-02-04T00:00:00,True,,22,1.0
babyshironeko,64,Baby Shiro Neko,babyshiro,2024-12-03T00:00:00,2025-02-04T00:00:00,True,,64,1.0
babytiger,71,babytiger,,,,True,,0,0.0
babywen,86,Baby Wen,bwen,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
badcatsol,78,BADCATsol,$badcat,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
badideaai,86,Bad Idea AI,bad,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
ballsoffate,86,Balls of Fate,bof,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bambooonbase,86,bambooonbase,,,,True,,0,0.0
bananacat,86,BananaCat,bcat,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bananaforscale,70,Banana for Scale,banana,2024-11-27T00:00:00,2025-02-04T00:00:00,True,,70,1.0
bananaforscale2,61,Banana For Scale,banana,2024-12-06T00:00:00,2025-02-04T00:00:00,True,,61,1.0
bananatapewall,86,Banana Tape Wall,btw,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
banano,86,banano,,,,True,,0,0.0
bangkit,5,bangkit,,,,True,,0,0.0
barbiecrashbandicootrfk88,86,BarbieCrashBandicootRFK88,solana,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
based,86,BASED,based,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
basedbario,53,basedbario,,,,True,,0,0.0
basedbutthole,17,basedbutthole,,,,True,,0,0.0
basedchad,74,basedchad,,,,True,,0,0.0
basedfartcoin,36,basedfartcoin,,,,True,,0,0.0
basedfwog,50,basedfwog,,,,True,,0,0.0
basedhoppy,18,basedhoppy,,,,True,,0,0.0
basedinternetpandarunes,86,basedinternetpandarunes,,,,True,,0,0.0
basedpepe,86,basedpepe,,,,True,,0,0.0
basedturbo,0,basedturbo,,,,True,,0,0.0
basegod,86,basegod,,,,True,,0,0.0
basenji,86,basenji,,,,True,,0,0.0
basktfun,73,Baskt.Fun,baskt,2024-11-24T00:00:00,2025-02-04T00:00:00,True,,73,1.0
beamcat,86,beamcat,,,,True,,0,0.0
beatsonbase,51,beatsonbase,,,,True,,0,0.0
beebase,86,beebase,,,,True,,0,0.0
beegbluewhale,74,beegbluewhale,,,,True,,0,0.0
beenz,9,BEENZ,beenz,2025-01-27T00:00:00,2025-02-04T00:00:00,True,,9,1.0
beercoin2,86,Beercoin,beer,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
believeinsomething,86,Believe In Something,bis,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
believeinsomething2,83,believe in something,dtf,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
belikeblob,75,Blob,blob,2024-11-22T00:00:00,2025-02-04T00:00:00,True,,75,1.0
bellscoin,28,bellscoin,,,,True,,0,0.0
beni,81,beni,,,,True,,0,0.0
benthedog,86,Ben the Dog,bendog,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bertramthepomeranian,84,Bertram The Pomeranian,bert,2024-11-13T00:00:00,2025-02-04T00:00:00,True,,84,1.0
beth,40,Beth,$beth,2024-12-27T00:00:00,2025-02-04T00:00:00,True,,40,1.0
betmore,86,Bet more,bet,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
biaoonsol,62,BIAO on SOL,biao,2024-12-05T00:00:00,2025-02-04T00:00:00,True,,62,1.0
biaoqing,86,Biaoqing,biao,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
big,57,BIG,big,2024-12-10T00:00:00,2025-02-04T00:00:00,True,,57,1.0
bigcheungus,75,Big Cheungus,$cheungus,2024-11-22T00:00:00,2025-02-04T00:00:00,True,,75,1.0
bigdogfink,78,Big Dog Fink,bink,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
bigjim,39,BIG JIM,bigjim,2024-12-28T00:00:00,2025-02-04T00:00:00,True,,39,1.0
bigpharmai,49,Big Pharmai,drugs,2024-12-18T00:00:00,2025-02-04T00:00:00,True,,49,1.0
bigtony,2,bigtony,,,,True,,0,0.0
billiondollarcatrunes,46,BILLION•DOLLAR•CAT (Runes),bdc,2024-12-21T00:00:00,2025-02-04T00:00:00,True,,46,1.0
billy,86,Billy,billy,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bingusthecat,86,Bingus The Cat,bingus,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
birddog,86,Bird Dog,birddog,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
birdsping,86,birdsping,,,,True,,0,0.0
bitbonk,86,BitBonk,bbonk,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bitcat2,86,BitCat,btcat,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bitcat3,78,Bitcat,bitcat,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
bitcoinact,78,BITCOIN Act,btcact,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
bitcoinbrobearrunes,83,bitcoinbrobearrunes,,,,True,,0,0.0
bitcoinonbase,0,bitcoinonbase,,,,True,,0,0.0
blackagnus,64,Black Agnus,ftw,2024-12-02T00:00:00,2025-02-04T00:00:00,True,,64,1.0
blackdragon,86,blackdragon,,,,True,,0,0.0
blackrack,27,BlackRack,racks,2025-01-09T00:00:00,2025-02-04T00:00:00,True,,27,1.0
blackunicorncorp,33,Black Unicorn Corp.,moon,2025-01-03T00:00:00,2025-02-04T00:00:00,True,,33,1.0
blepsupermeme,42,blepsupermeme,,,,True,,0,0.0
blinkdotfun,48,blinkdotfun,blink,2024-12-19T00:00:00,2025-02-04T00:00:00,True,,48,1.0
blinksgg,86,Blinks.gg,bgg1,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
blk2100,86,BLK2100,$blk,2024-11-11T00:00:00,2025-02-02T00:00:00,True,,86,1.0
blobanapet,76,Blobana pet,blob,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
bloomspergterminal,75,Bloomsperg Terminal,sperg,2024-11-22T00:00:00,2025-02-04T00:00:00,True,,75,1.0
blub,86,blub,,,,True,,0,0.0
bmoneyakabrett,57,bmoneyakabrett,,,,True,,0,0.0
bob3,86,bob3,,,,True,,0,0.0
bobacat,86,BobaCat,psps,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bobaoppa,86,Boba Oppa,bobaoppa,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
boblles,66,Boblles,bobls,2024-12-01T00:00:00,2025-02-04T00:00:00,True,,66,1.0
bobocoin,38,BOBO Coin,bobo,2024-12-29T00:00:00,2025-02-04T00:00:00,True,,38,1.0
bobthesnek,84,Bob the Snek,bob,2024-11-13T00:00:00,2025-02-04T00:00:00,True,,84,1.0
bobtoken,86,BOB Token,bob,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bog,86,Bog,bog,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bogus,85,BOGUS,bogus,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
bongocat,86,BONGO CAT,bongo,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bonkey,77,bonkey,,,,True,,0,0.0
bonsaitoken,73,Bonsai Token,bonsai,2024-11-24T00:00:00,2025-02-04T00:00:00,True,,73,1.0
booji,40,BOOJI,booji,2024-12-27T00:00:00,2025-02-04T00:00:00,True,,40,1.0
boomer,86,boomer,,,,True,,0,0.0
boop2,86,Boop,boop,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
boop3,81,BOOP,boop,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,81,1.0
booshi,86,booshi,,,,True,,0,0.0
bopcat,85,Bop Cat,bop,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
bored2,86,bored2,,,,True,,0,0.0
boysclub,18,Boys Club,boys,2025-01-18T00:00:00,2025-02-04T00:00:00,True,,18,1.0
bozohybrid,86,Bozo Benk,bozo,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
brainlet2,86,Brainlet,brainlet,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
brainrot,86,brainrot,rot,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
breakoutbrobyvirtuals,38,breakoutbrobyvirtuals,,,,True,,0,0.0
brettmemecoin,62,Brett (ETH),brett,2024-12-05T00:00:00,2025-02-04T00:00:00,True,,62,1.0
brian,46,brian,,,,True,,0,0.0
britto2,22,britto2,,,,True,,0,0.0
brot,58,BROT,brot,2024-12-09T00:00:00,2025-02-04T00:00:00,True,,58,1.0
brothecat,86,Bro the cat,bro,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
bsop,1,bsop,,,,True,,0,0.0
bubbles2,85,bubbles2,,,,True,,0,0.0
bueno,78,Bueno,bueno,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
buildonbnb,74,Build On BNB,bob,2024-11-23T00:00:00,2025-02-04T00:00:00,True,,74,1.0
bulla2,28,bulla2,,,,True,,0,0.0
bulldogito,19,BullDogito,bdogito,2025-01-17T00:00:00,2025-02-04T00:00:00,True,,19,1.0
burnedfi,86,BurnedFi,burn,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
burt,86,burt,,,,True,,0,0.0
buttcoin3,21,BUTTCOIN,buttcoin,2025-01-15T00:00:00,2025-02-04T00:00:00,True,,21,1.0
buttholecoin,35,Butthole Coin,butthole,2025-01-01T00:00:00,2025-02-04T00:00:00,True,,35,1.0
buttholes,29,Buttholes,bhole,2025-01-07T00:00:00,2025-02-04T00:00:00,True,,29,1.0
buu,86,BUU,buu,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
byte,86,Byte,byte,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
calvininthecabal,21,Calvin in the Cabal,calvin,2025-01-15T00:00:00,2025-02-04T00:00:00,True,,21,1.0
cameldad,18,Camel Dad,camel,2025-01-18T00:00:00,2025-02-04T00:00:00,True,,18,1.0
cancer,76,Cancer,cancer,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
capricorn2,76,Capricorn,capricorn,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
carlo,53,carlo,,,,True,,0,0.0
carloacutis,70,Carlo Acutis,saint,2024-11-27T00:00:00,2025-02-04T00:00:00,True,,70,1.0
cas9,33,Cas9,crispr,2025-01-03T00:00:00,2025-02-04T00:00:00,True,,33,1.0
catalorian,86,Catalorian,catalorian,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catana,86,Catana,catana,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catbal,86,catbal,,,,True,,0,0.0
catcoin,86,catcoin,,,,True,,0,0.0
catcoincash,86,Catcoin,cat,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catdog,86,Cat-Dog,catdog,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catecoin,86,CateCoin,cate,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catex,86,CATEX,catex,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catgirl,86,cat girl,catgf,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catownkimono,86,catownkimono,cok,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catslap,58,CatSlap,slap,2024-12-09T00:00:00,2025-02-04T00:00:00,True,,58,1.0
catwifbag,86,catwifbag,bag,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
catwifhat,17,Cat Wif Hat,cwh,2025-01-19T00:00:00,2025-02-04T00:00:00,True,,17,1.0
catwifhat2,86,catwifhat,$cwif,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cctv,86,CCTV,cctv,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
centience,77,Centience,cents,2024-11-20T00:00:00,2025-02-04T00:00:00,True,,77,1.0
chadcat,71,CHAD CAT,chadcat,2024-11-26T00:00:00,2025-02-04T00:00:00,True,,71,1.0
chadcoin,86,Chad Coin,chad,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
chaisavings,25,CHAISavings,chai,2025-01-11T00:00:00,2025-02-04T00:00:00,True,,25,1.0
chaosanddisorder,70,chaos and disorder,chaos,2024-11-27T00:00:00,2025-02-04T00:00:00,True,,70,1.0
charlesthechad,63,charlesthechad,,,,True,,0,0.0
chartreuxcat,86,Chartreux Cat,chart,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
chatgptsmascot,78,ChatGPT's Mascot,chatty,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
chatoshi,20,ChAtoshI,chatoshi,2025-01-16T00:00:00,2025-02-04T00:00:00,True,,20,1.0
cheems,86,Cheems,cheems,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cheese2,86,Cheese,cheese,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cheese3,77,Cheese,cheese,2024-11-20T00:00:00,2025-02-04T00:00:00,True,,77,1.0
cheeseball,86,Cheeseball,cb,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
chelon,15,CHELON,chelon,2025-01-21T00:00:00,2025-02-04T00:00:00,True,,15,1.0
cheshiregrin,67,Cheshire Grin,grin,2024-11-30T00:00:00,2025-02-04T00:00:00,True,,67,1.0
cheyenne,77,Cheyenne,cheyenne,2024-11-20T00:00:00,2025-02-04T00:00:00,True,,77,1.0
chibawan,85,Chiba Wan,chib,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
chihuahuatoken,86,chihuahuatoken,,,,True,,0,0.0
chillgirl,71,Chill Girl,chillgirl,2024-11-26T00:00:00,2025-02-04T00:00:00,True,,71,1.0
chillguy,1,Just a chill guy,chillguy,2025-02-04T00:00:00,2025-02-04T00:00:00,True,,1,1.0
chinesedogewow,63,chinesedogewow,,,,True,,0,0.0
choccymilkcat,79,Choccy Milk Cat,choccy,2024-11-17T00:00:00,2025-02-04T00:00:00,True,,79,1.0
chompcoin,86,ChompCoin,chomp,2024-12-20T00:00:00,2025-02-04T00:00:00,True,,47,0.5465116279069767
chonky,86,CHONKY,chonky,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
chudjak,86,Chudjak,chud,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
clankfun,53,clankfun,,,,True,,0,0.0
clapcat,86,CLAPCAT,$clap,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
claude,35,Claude,claude,2025-01-01T00:00:00,2025-02-04T00:00:00,True,,35,1.0
clayton,19,clayton,,,,True,,0,0.0
coal2,86,COAL,coal,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
coby,86,coby,coby,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cococoin,83,COCO COIN,coco,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
codergf,39,Coder GF,codergf,2024-12-28T00:00:00,2025-02-04T00:00:00,True,,39,1.0
codetoken,75,Code Token,code,2024-11-22T00:00:00,2025-02-04T00:00:00,True,,75,1.0
coffee2,76,coffee2,,,,True,,0,0.0
coin6900,85,coin6900,,,,True,,0,0.0
coinyewest,7,coinyewest,,,,True,,0,0.0
comedian,48,Comedian,ban,2024-12-19T00:00:00,2025-02-04T00:00:00,True,,48,1.0
condo,86,condo,,,,True,,0,0.0
convo,51,Convo,convo,2024-12-16T00:00:00,2025-02-04T00:00:00,True,,51,1.0
coqai,27,COQ AI,coqai,2025-01-09T00:00:00,2025-02-04T00:00:00,True,,27,1.0
corgiinu2,36,Corgi Inu,corgi,2024-12-31T00:00:00,2025-02-04T00:00:00,True,,36,1.0
corn2,86,Corn,corn,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
costcohotdog,86,Cost Hot Dog,cost,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
crab,55,CRAB,crab,2024-12-12T00:00:00,2025-02-04T00:00:00,True,,55,1.0
crashonbase,86,crashonbase,,,,True,,0,0.0
crashout,86,Crashout,crashout,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
craze,43,Craze,craze,2024-12-24T00:00:00,2025-02-04T00:00:00,True,,43,1.0
crowwithknife,84,crow with knife,caw,2024-11-13T00:00:00,2025-02-04T00:00:00,True,,84,1.0
cryptoboomcoinofficial,86,CryptoBoomCoin Official,cbc,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cryptobro,1,Crypto Bro,larry,2025-02-04T00:00:00,2025-02-04T00:00:00,True,,1,1.0
cryptoczar,69,Crypto Czar,czar,2024-11-28T00:00:00,2025-02-04T00:00:00,True,,69,1.0
csi888,86,CSI888,csi,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cultofpepe,84,Cult of Pepe,cope,2024-11-13T00:00:00,2025-02-04T00:00:00,True,,84,1.0
cumrocket,86,CumRocket,cummies,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
cupsey,85,CUPSEY,cupsey,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
curtis,86,curtis,,,,True,,0,0.0
cuteasiangirl,11,cuteasiangirl,,,,True,,0,0.0
cyberdog,45,cyberdog,,,,True,,0,0.0
cyberdoge3,85,Cyberdoge,cdoge,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
cyphergenesisrunes,62,cyphergenesisrunes,,,,True,,0,0.0
cyphomancer,29,Cyphomancer,42,2025-01-07T00:00:00,2025-02-04T00:00:00,True,,29,1.0
daddychill,66,Daddy Chill,daddychill,2024-12-01T00:00:00,2025-02-04T00:00:00,True,,66,1.0
daddytate,78,Daddy Tate,daddy,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
dancingtriangle2,86,dancing triangle,triangle,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
darkmaga,86,Dark MAGA,dmaga,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
darksun,57,darksun,binary,2024-12-10T00:00:00,2025-02-04T00:00:00,True,,57,1.0
dasha,86,Dasha,vvaifu,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
