sheet_name,too_few_rows,low_price_coverage,invalid_date,missing_required_columns,other_reason,final_included,reason
basenji,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
beamcat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
beatsonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
beebase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
beegbluewhale,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
beenz,True,False,False,False,False,False,too_few_rows<30
bellscoin,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
beni,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bigtony,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
birdsping,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bitcoinbrobearrunes,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bitcoinonbase,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
blackdragon,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
blackrack,True,False,False,False,False,False,too_few_rows<30
blepsupermeme,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
blub,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bmoneyakabrett,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bob3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bonkey,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
boomer,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
booshi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bored2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
boysclub,True,False,False,False,False,False,too_few_rows<30
breakoutbrobyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
brian,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
britto2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
bsop,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
bubbles2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bulla2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
bulldogito,True,False,False,False,False,False,too_few_rows<30
burt,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
buttcoin3,True,False,False,False,False,False,too_few_rows<30
buttholes,True,False,False,False,False,False,too_few_rows<30
calvininthecabal,True,False,False,False,False,False,too_few_rows<30
cameldad,True,False,False,False,False,False,too_few_rows<30
carlo,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
catbal,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
catcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
catwifhat,True,False,False,False,False,False,too_few_rows<30
chaisavings,True,False,False,False,False,False,too_few_rows<30
charlesthechad,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
chatoshi,True,False,False,False,False,False,too_few_rows<30
chelon,True,False,False,False,False,False,too_few_rows<30
chihuahuatoken,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
chillguy,True,False,False,False,False,False,too_few_rows<30
chinesedogewow,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
chompcoin,False,True,False,False,False,False,low_price_coverage<0.7
clankfun,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
clayton,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
coffee2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
coin6900,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
coinyewest,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
condo,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
coqai,True,False,False,False,False,False,too_few_rows<30
crashonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
cryptobro,True,False,False,False,False,False,too_few_rows<30
curtis,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
cuteasiangirl,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
cyberdog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
cyphergenesisrunes,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
cyphomancer,True,False,False,False,False,False,too_few_rows<30
degencapitalbyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
degenerativesitcom,True,False,False,False,False,False,too_few_rows<30
degeneratorproject,True,False,False,False,False,False,too_few_rows<30
departmentofgovernmentefficiency,True,False,False,False,False,False,too_few_rows<30
dickbutt,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
dino2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
dogcoin2,True,False,False,False,False,False,too_few_rows<30
dogeai2,True,False,False,False,False,False,too_few_rows<30
dogeeatdoge,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
dogeinu,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
dogelink,True,False,False,False,False,False,too_few_rows<30
dogi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
doginme,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
dogk,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
dogshitgoingnowhere,True,False,False,False,False,False,too_few_rows<30
dream2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
drop2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
elon4afd,True,False,False,False,False,False,too_few_rows<30
elontrumpfart,True,False,False,False,False,False,too_few_rows<30
fafo,True,False,False,False,False,False,too_few_rows<30
farm2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
fartboy,True,False,False,False,False,False,too_few_rows<30
fatcat2,True,False,False,False,False,False,too_few_rows<30
fight,True,False,False,False,False,False,too_few_rows<30
flatearth,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
flockerz,True,False,False,False,False,False,too_few_rows<30
fofar2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
forgivemefather,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
foxy,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
fpibank,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
freysaai,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
fudthepug,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
fwogtakes,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
gekobase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
gertrudedatapig,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
ghffb47yii2rteeyy10op,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
ghoad,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
gingergang,True,False,False,False,False,False,too_few_rows<30
gizmoimaginarykittenrunes,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
goatbased,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
goats2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
gobisgobisgob,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
goggles,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
googles,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
grass3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
guanciale,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
guiinu,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
halloflegends,True,False,False,False,False,False,too_few_rows<30
hathor,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
hatom,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
hedgewaterdao,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
hedgythehedgehog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
henlo2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
higher,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
hopcat,True,False,False,False,False,False,too_few_rows<30
hovercat,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
hug,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
hyena,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
ifscience,True,False,False,False,False,False,too_few_rows<30
indi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
internetdoge,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
inthememetime,True,False,False,False,False,False,too_few_rows<30
investzone,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
ionabyvirtuals,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
ivy2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
jaihoz,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
jeff3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
justalotto,True,False,False,False,False,False,too_few_rows<30
justiceforzachxbt,True,False,False,False,False,False,too_few_rows<30
justkira,True,False,False,False,False,False,too_few_rows<30
kango,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kapsel,True,False,False,False,False,False,too_few_rows<30
kasper,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kaspy,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kek3,True,False,False,False,False,False,too_few_rows<30
keke,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kekiusmaximus4,True,False,False,False,False,False,too_few_rows<30
kenduinu2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
keyboardcatbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kiratheinjectivecat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
kokutheshikoku,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
konanofkaspa,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
landwolfbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
largelanguagemodel,True,False,False,False,False,False,too_few_rows<30
legit,True,False,False,False,False,False,too_few_rows<30
leopold,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lfgo,False,True,False,False,False,False,low_price_coverage<0.7
lifechangingpill,True,False,False,False,False,False,too_few_rows<30
lilbrett,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lilloai,True,False,False,False,False,False,too_few_rows<30
limitless,True,False,False,False,False,False,too_few_rows<30
liquina,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
liquor,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lockinonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lofi2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
loopysui,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lou,True,False,False,False,False,False,too_few_rows<30
luckycoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
luminous,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
lumoscoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
machi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
madeinamerica,True,False,False,False,False,False,too_few_rows<30
maga,True,False,False,False,False,False,too_few_rows<30
marsotech,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
memdex100,True,False,False,False,False,False,too_few_rows<30
memeerkat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
memefi2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
mementomori,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
meow3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
mfercoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
miaocoin,True,False,False,False,False,False,too_few_rows<30
miladymemecoin,True,False,False,False,False,False,too_few_rows<30
millicoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
mistermiggles,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
mistery,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
mobcat,True,False,False,False,False,False,too_few_rows<30
mochithecatcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
monko,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
moomoo,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
moondogai,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
moonrabbits,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
msqcycleburn,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
muncat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
nachothekat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
nibbles,True,False,False,False,False,False,too_few_rows<30
nikitabyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
nikolai,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
nitro2,True,False,False,False,False,False,too_few_rows<30
nonja,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
normie2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
normilio,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
nothing3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
okayeg,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
omega3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
onyxarches,True,False,False,False,False,False,too_few_rows<30
otto,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
paponinja,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
paradox3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
party4,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
patriotonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
peezyeth,True,False,False,False,False,False,too_few_rows<30
pepe0x69onbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pepebrc,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
pepecoinnetwork,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pepekrc20,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pepo,True,False,False,False,False,False,too_few_rows<30
phnix,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
piggy2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pigu,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pikatopiko,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pineapplecat2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pip3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pizabrc,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
podflowaibyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
points2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
poncho,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pongo2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
poppy2,True,False,False,False,False,False,too_few_rows<30
poveldurev,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pozocoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pucca,True,False,False,False,False,False,too_few_rows<30
pumpcorn,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pumpkin4,True,False,False,False,False,False,too_few_rows<30
puss,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
pythia,True,False,False,False,False,False,too_few_rows<30
queenpooie,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
raincoin,True,False,False,False,False,False,too_few_rows<30
ratomilton,True,False,False,False,False,False,too_few_rows<30
realgoat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
realniggertate,True,False,False,False,False,False,too_few_rows<30
redactedgdupi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
regent,True,False,False,False,False,False,too_few_rows<30
resistancedog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
rondaonsui,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
runepups,True,False,False,False,False,False,too_few_rows<30
runesxbitcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
russell,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
s,True,False,False,False,False,False,too_few_rows<30
sacabam,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
salute,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
sanchan,True,False,False,False,False,False,too_few_rows<30
satoshai,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
satoshiaiagentbyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sealdog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
seamania,True,False,False,False,False,False,too_few_rows<30
seiyan,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sentai2,True,False,False,False,False,False,too_few_rows<30
sentioprotocol,True,False,False,False,False,False,too_few_rows<30
shibainutreat,True,False,False,False,False,False,too_few_rows<30
shironeko2,True,False,False,False,False,False,too_few_rows<30
shishacoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
shitcats,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
shork,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
shytoshikusama,True,False,False,False,False,False,too_few_rows<30
sigma3,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
skimaskcat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
skimaskdog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
skimaskpepe,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
skullofpepetoken,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
snailbrook,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sonicsnipebot,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
spacebucks,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
spice2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sroomaidao,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
starknetbrother,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
stinkcoin,True,False,False,False,False,False,too_few_rows<30
sugarboy,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sugarbush,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suibainu,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suicuneonsui,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suicytheseal,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suidesciagents,True,False,False,False,False,False,too_few_rows<30
suijak,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suiman,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
suinami,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sumi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
suncat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sundog,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
sunwukong,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
superanon,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
supersuiyan,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
sympsonai,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
synthesizerdog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tadpole,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tardi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tay,True,False,False,False,False,False,too_few_rows<30
teddybear,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
thedogeson,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
theresistancecat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
thisismyiguana,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tinyfren,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tism,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tn100x,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tobytoadgod,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tokenbot2,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
tokenmetricsai,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
toncat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tonfishmemecoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
toshi,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tronbull,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tronbullcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tronkey,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
trustmebrosbyvirtuals,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
twiskers,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
tyler,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
uni,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
upsidedownmeme,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
usacoin,True,False,False,False,False,False,too_few_rows<30
vaderaibyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
velvetunicornbyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
vikita,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
wagmigame2,True,False,False,False,False,False,too_few_rows<30
waicombinatorbyvirtuals,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
warriorcoin,True,False,False,False,False,False,too_few_rows<30
watcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
weirdo2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
welovet,True,False,False,False,False,False,too_few_rows<30
welshcorgicoin,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
wen5,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
whale2,True,False,False,False,False,False,too_few_rows<30
wownero,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
wryon,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
xmoney,True,False,False,False,False,False,too_few_rows<30
yeeti,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
yieldmachine,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
youngpeezyakapepe,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
yuko,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
zaichxbt,True,False,False,False,False,False,too_few_rows<30
zapo,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
zeekcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
zenai,True,False,False,False,False,False,too_few_rows<30
zooworld,True,False,False,False,False,False,too_few_rows<30
1guy,False,False,False,False,False,True,
1squirrel,False,False,False,False,False,True,
360noscope420blazeit,False,False,False,False,False,True,
5,False,False,False,False,False,True,
6,False,False,False,False,False,True,
888token,False,False,False,False,False,True,
abi,False,False,False,False,False,True,
achi,False,False,False,False,False,True,
acidtoad,False,False,False,False,False,True,
adillo,False,False,False,False,False,True,
agentaigo,False,False,False,False,False,True,
agenttank,False,False,False,False,False,True,
ai16z,False,False,False,False,False,True,
ai16zeliza,False,False,False,False,False,True,
aicrystalnode,False,False,False,False,False,True,
aiinu,False,False,False,False,False,True,
aimerica,False,False,False,False,False,True,
aimonicabrands,False,False,False,False,False,True,
aishellnova,False,False,False,False,False,True,
aitraderagent,False,False,False,False,False,True,
aiwarpertoken,False,False,False,False,False,True,
aiwithdaddyissues,False,False,False,False,False,True,
akiprotocol,False,False,False,False,False,True,
akitabsc,False,False,False,False,False,True,
alaska,False,False,False,False,False,True,
alchemistai,False,False,False,False,False,True,
alp,False,False,False,False,False,True,
alpaca2,False,False,False,False,False,True,
alpha3,False,False,False,False,False,True,
amaterasuomikami,False,False,False,False,False,True,
americancoin,False,False,False,False,False,True,
americapac,False,False,False,False,False,True,
analos,False,False,False,False,False,True,
andy70b,False,False,False,False,False,True,
andyman,False,False,False,False,False,True,
anitamaxwynn,False,False,False,False,False,True,
antitoken,False,False,False,False,False,True,
anyinu,False,False,False,False,False,True,
