sheet_name,token,ticker,rows,first_date,last_date,price_non_null
bobaoppa,Boba Oppa,bobaoppa,82,2024-11-11,2025-02-01,82
boblles,Boblles,bobls,62,2024-12-01,2025-02-01,62
bobocoin,BOBO Coin,bobo,35,2024-12-29,2025-02-01,35
bobthesnek,Bob the Snek,bob,79,2024-11-13,2025-02-01,79
bobtoken,BOB Token,bob,82,2024-11-11,2025-02-01,82
bog,Bog,bog,10,2024-11-11,2024-11-22,10
bogus,BOGUS,bogus,76,2024-11-12,2025-01-31,76
bongocat,BONGO CAT,bongo,82,2024-11-11,2025-02-01,82
bonsaitoken,Bonsai Token,bonsai,70,2024-11-24,2025-02-01,70
booji,BOOJI,booji,37,2024-12-27,2025-02-01,37
boop2,Boop,boop,81,2024-11-11,2025-02-01,81
boop3,BOOP,boop,77,2024-11-15,2025-02-01,77
bopcat,Bop Cat,bop,80,2024-11-12,2025-02-01,80
bozohybrid,Bozo Benk,bozo,80,2024-11-11,2025-02-01,80
brainlet2,Brainlet,brainlet,82,2024-11-11,2025-02-01,82
brainrot,brainrot,rot,81,2024-11-11,2025-02-01,81
brettmemecoin,Brett (ETH),brett,59,2024-12-05,2025-02-01,59
brot,BROT,brot,55,2024-12-09,2025-02-01,55
brothecat,Bro the cat,bro,82,2024-11-11,2025-02-01,82
bueno,Bueno,bueno,73,2024-11-19,2025-02-01,73
buildonbnb,Build On BNB,bob,63,2024-11-23,2025-01-24,63
burnedfi,BurnedFi,burn,81,2024-11-11,2025-02-01,81
buttholecoin,Butthole Coin,butthole,32,2025-01-01,2025-02-01,32
buu,BUU,buu,82,2024-11-11,2025-02-01,82
byte,Byte,byte,81,2024-11-11,2025-02-01,81
cancer,Cancer,cancer,73,2024-11-21,2025-02-01,73
capricorn2,Capricorn,capricorn,72,2024-11-21,2025-02-01,72
carloacutis,Carlo Acutis,saint,67,2024-11-27,2025-02-01,67
cas9,Cas9,crispr,30,2025-01-03,2025-02-01,30
catalorian,Catalorian,catalorian,82,2024-11-11,2025-02-01,82
catana,Catana,catana,82,2024-11-11,2025-02-01,82
catdog,Cat-Dog,catdog,81,2024-11-11,2025-02-01,81
catecoin,CateCoin,cate,82,2024-11-11,2025-02-01,82
catex,CATEX,catex,80,2024-11-11,2025-02-01,80
catgirl,cat girl,catgf,80,2024-11-11,2025-02-01,80
catownkimono,catownkimono,cok,81,2024-11-11,2025-02-01,81
catslap,CatSlap,slap,55,2024-12-09,2025-02-01,55
catwifbag,catwifbag,bag,81,2024-11-11,2025-02-01,81
catwifhat2,catwifhat,$cwif,82,2024-11-11,2025-02-01,82
cctv,CCTV,cctv,81,2024-11-11,2025-02-01,81
centience,Centience,cents,74,2024-11-20,2025-02-01,74
chadcat,CHAD CAT,chadcat,68,2024-11-26,2025-02-01,68
chadcoin,Chad Coin,chad,80,2024-11-11,2025-02-01,80
chaosanddisorder,chaos and disorder,chaos,67,2024-11-27,2025-02-01,67
chartreuxcat,Chartreux Cat,chart,78,2024-11-11,2025-01-31,78
chatgptsmascot,ChatGPT's Mascot,chatty,74,2024-11-19,2025-02-01,74
cheems,Cheems,cheems,81,2024-11-11,2025-02-01,81
cheese2,Cheese,cheese,78,2024-11-11,2025-02-01,78
cheese3,Cheese,cheese,73,2024-11-20,2025-02-01,73
cheeseball,Cheeseball,cb,81,2024-11-11,2025-02-01,81
cheshiregrin,Cheshire Grin,grin,64,2024-11-30,2025-02-01,64
cheyenne,Cheyenne,cheyenne,74,2024-11-20,2025-02-01,74
chibawan,Chiba Wan,chib,80,2024-11-12,2025-02-01,80
chillgirl,Chill Girl,chillgirl,68,2024-11-26,2025-02-01,68
choccymilkcat,Choccy Milk Cat,choccy,71,2024-11-17,2025-02-01,71
chonky,CHONKY,chonky,82,2024-11-11,2025-02-01,82
chudjak,Chudjak,chud,82,2024-11-11,2025-02-01,82
clapcat,CLAPCAT,$clap,78,2024-11-11,2025-02-01,78
claude,Claude,claude,32,2025-01-01,2025-02-01,32
coal2,COAL,coal,82,2024-11-11,2025-02-01,82
coby,coby,coby,81,2024-11-11,2025-02-01,81
cococoin,COCO COIN,coco,78,2024-11-15,2025-02-01,78
codergf,Coder GF,codergf,36,2024-12-28,2025-02-01,36
codetoken,Code Token,code,67,2024-11-22,2025-02-01,67
comedian,Comedian,ban,45,2024-12-19,2025-02-01,45
convo,Convo,convo,48,2024-12-16,2025-02-01,48
corgiinu2,Corgi Inu,corgi,33,2024-12-31,2025-02-01,33
corn2,Corn,corn,80,2024-11-11,2025-02-01,80
costcohotdog,Cost Hot Dog,cost,82,2024-11-11,2025-02-01,82
crab,CRAB,crab,52,2024-12-12,2025-02-01,52
crashout,Crashout,crashout,82,2024-11-11,2025-02-01,82
craze,Craze,craze,40,2024-12-24,2025-02-01,40
crowwithknife,crow with knife,caw,79,2024-11-13,2025-02-01,79
cryptoboomcoinofficial,CryptoBoomCoin Official,cbc,78,2024-11-11,2025-02-01,78
cryptoczar,Crypto Czar,czar,66,2024-11-28,2025-02-01,66
csi888,CSI888,csi,82,2024-11-11,2025-02-01,82
cultofpepe,Cult of Pepe,cope,77,2024-11-13,2025-02-01,77
cumrocket,CumRocket,cummies,82,2024-11-11,2025-02-01,82
cupsey,CUPSEY,cupsey,80,2024-11-12,2025-02-01,80
cyberdoge3,Cyberdoge,cdoge,77,2024-11-12,2025-02-01,77
daddychill,Daddy Chill,daddychill,62,2024-12-01,2025-01-31,62
daddytate,Daddy Tate,daddy,75,2024-11-19,2025-02-01,75
dancingtriangle2,dancing triangle,triangle,82,2024-11-11,2025-02-01,82
darkmaga,Dark MAGA,dmaga,82,2024-11-11,2025-02-01,82
darksun,darksun,binary,54,2024-12-10,2025-02-01,54
dasha,Dasha,vvaifu,81,2024-11-11,2025-02-01,81
deepworm,Deep Worm,worm,82,2024-11-11,2025-02-01,82
defrogs,DeFrogs,defrogs,65,2024-11-29,2025-02-01,65
degenspartanai,Degen Spartan AI,degenai,82,2024-11-11,2025-02-01,82
dejitarutsuka,Dejitaru Tsuka,tsuka,82,2024-11-11,2025-02-01,82
departmentofgovefficiency,Department of Gov Efficiency,doge,78,2024-11-15,2025-02-01,78
departmentofgovernmentefficiency3,Department Of Government Efficiency,d.o.g.e,79,2024-11-13,2025-02-01,79
derdaku,Der Daku,daku,33,2024-12-31,2025-02-01,33
devinonsolana,Devin,devin,80,2024-11-11,2025-02-01,80
dingocoin,Dingocoin,dingo,61,2024-12-03,2025-02-01,61
dinolfg,DinoLFG,dino,81,2024-11-11,2025-02-01,81
divinelyprotected,Divinely Protected,dp,68,2024-11-24,2025-02-01,68
dogaiwtf,DOGAI,dogai,80,2024-11-12,2025-02-01,80
dogami,Dogami,doga,67,2024-11-27,2025-02-01,67
dogc,DOGC,dogc,60,2024-12-04,2025-02-01,60
doge,@DOGE,@doge,75,2024-11-16,2025-02-01,75
dogebonk,DogeBonk,dobo,81,2024-11-11,2025-02-01,81
dogecast,Dogecast,dogecast,73,2024-11-21,2025-02-01,73
dogecast2,dogecast,dogecast,71,2024-11-23,2025-02-01,71
dogefather2,Dogefather,dogefather,70,2024-11-24,2025-02-01,70
dogefather3,DogeFather,the dogefather,31,2025-01-02,2025-02-01,31
dogejonesindustrialaverage,Doge Jones Industrial Average,dji,80,2024-11-12,2025-02-01,80
dogemascotshibu,Doge Mascot Shibu,shibu,82,2024-11-11,2025-02-01,82
dogemojionsolana,Dog Emoji On Solana,?,79,2024-11-11,2025-02-01,79
dogeonsolana,DOGE on Solana,sdoge,82,2024-11-11,2025-02-01,82
dogfoodtoken,Dog Food Token,oishii,22,2024-11-11,2025-01-17,22
doggo3,Doggo,doggo,82,2024-11-11,2025-02-01,82
doggoinu,Doggo Inu,doggo,4,2024-11-11,2024-11-14,4
doginhood,DoginHood,dogin,81,2024-11-11,2025-02-01,81
doginthpool,doginthpool,dip,81,2024-11-11,2025-02-01,81
doglibre,DogLibre,dogl,46,2024-12-18,2025-02-01,46
dogwifnuchucks,Dog Wif Nunchucks,ninja,70,2024-11-24,2025-02-01,70
dogwithappleinmouth,dog with apple in mouth,apple,51,2024-12-13,2025-02-01,51
dolanduck,Dolan Duck,dolan,80,2024-11-12,2025-02-01,80
dollarmoon2,DollarMoon,dmoon,79,2024-11-11,2025-02-01,79
dolosthebully,Dolos The Bully,bully,75,2024-11-19,2025-02-01,75
donaldtremp,Doland Tremp,tremp,82,2024-11-11,2025-02-01,82
dontbuyinu,Don't Buy Inu,dbi,80,2024-11-11,2025-02-01,80
dontdie,Don't Die,dontdie,66,2024-11-27,2025-02-01,66
dorklord2,Dork Lord,dorky,82,2024-11-11,2025-02-01,82
dotcom,Dotcom,y2k,67,2024-11-27,2025-02-01,67
draggycto,Draggy CTO,draggy,50,2024-11-11,2025-01-05,50
drip,DRIP,$drip,81,2024-11-11,2025-02-01,81
drpepeai,DrPepe.ai,bryan,36,2024-12-28,2025-02-01,36
duckai,Duck AI,duckai,63,2024-12-01,2025-02-01,63
duckthedoug,Doug the Duck,doug,80,2024-11-11,2025-02-01,80
ducky,Ducky,ducky,82,2024-11-11,2025-02-01,82
duko,DUKO,duko,82,2024-11-11,2025-02-01,82
eagleoftruth,Eagle of Truth,egl,78,2024-11-11,2025-01-31,78
earl,earl,earl,77,2024-11-11,2025-02-01,77
effectiveaccelerationism,Effective accelerationism,e/acc,79,2024-11-11,2025-02-01,79
eggdog,Eggdog,egg,81,2024-11-11,2025-02-01,81
elgato,el gato,elgato,82,2024-11-11,2025-02-01,82
eliza,Eliza,eliza,71,2024-11-23,2025-02-01,71
elon,Elon,$elon,82,2024-11-11,2025-02-01,82
eloniatrump,Elonia Trump,elonia,70,2024-11-23,2025-02-01,70
elonrwa,ElonRWA,elonrwa,78,2024-11-15,2025-02-01,78
elonspetsnail,Elons Pet Snail,gary,74,2024-11-20,2025-02-01,74
elsapopepe,El Sapo Pepe,pepe,41,2024-12-22,2025-02-01,41
endfederalreserve,End Federal Reserve,efr,71,2024-11-23,2025-02-01,71
enkrypto,EnKrypto,krypt,80,2024-11-11,2025-02-01,80
estee,Estee,estee,81,2024-11-11,2025-02-01,81
ethbull,ETH BULL,bull,37,2024-12-27,2025-02-01,37
ethereumisgood,ETHEREUM IS GOOD,ebull,81,2024-11-11,2025-02-01,81
evan2,Evan,evan,67,2024-11-27,2025-02-01,67
expert_money,EXPERT_MONEY,expert,67,2024-11-26,2025-02-01,67
eyeearn,Smilek,smilek,82,2024-11-11,2025-02-01,82
fairfun,Fairfun,fair,42,2024-11-11,2025-01-20,42
faml,FAML,faml,70,2024-11-23,2025-01-31,70
fatgf,FATGF,fatgf,81,2024-11-11,2025-02-01,81
feces,FECES,feces,82,2024-11-11,2025-02-01,82
fefeoneth,Fefe,fefe,82,2024-11-11,2025-02-01,82
fegtoken2,FEED EVERY GORILLA,feg,71,2024-11-11,2025-02-01,71
feistydogenft,Feisty Doge NFT,nfd,82,2024-11-11,2025-02-01,82
fighttomaga,Fight to MAGA,fight,82,2024-11-11,2025-02-01,82
fijiexe,FIJI.EXE,fiji,78,2024-11-15,2025-02-01,78
fine2,FINE,fine,69,2024-11-13,2025-01-31,69
firstconvictedraccon,First Convicted RACCON,fred,51,2024-12-13,2025-02-01,51
firstreply,first reply,sirius,82,2024-11-11,2025-02-01,82
fishkoin,Fishkoin,koin,81,2024-11-11,2025-02-01,81
fisttrumppump,Fisttrumppump,ftp,82,2024-11-11,2025-02-01,82
flatearthcoin,Flat Earth Coin,flat,75,2024-11-19,2025-02-01,75
flaviaisonline,Flavia Is Online,flavia,81,2024-11-11,2025-02-01,81
fleabone,FLEABONE,bone,75,2024-11-19,2025-02-01,75
floofnoodles,Floofnoodles,floof,69,2024-11-23,2025-02-01,69
floos,Floos,fls,82,2024-11-11,2025-02-01,82
floppacat,Floppa Cat,floppa,79,2024-11-14,2025-02-01,79
florkcto,FLORK CTO,flork,34,2024-12-30,2025-02-01,34
flowerai,FlowerAI,flower,67,2024-11-27,2025-02-01,67
fofar,Fofar,fofar,82,2024-11-11,2025-02-01,82
fomo3d,FOMO 3D,fomo3d.fun,51,2024-12-13,2025-02-01,51
fomoradioai,FOMO RADIO AI,radio,30,2025-01-03,2025-02-01,30
forest,FOREST,forest,82,2024-11-11,2025-02-01,82
forky2,Forky,forky,30,2025-01-03,2025-02-01,30
freeshaynecoplan,FREE Shayne Coplan,eagle,74,2024-11-20,2025-02-01,74
freespeech2,Free Speech,x,33,2024-12-31,2025-02-01,33
frensofelon,Frens of Elon,frens,54,2024-12-09,2025-02-01,54
fric,FRIC,fric,51,2024-12-13,2025-02-01,51
frodothevirtualsamurai,Frodo the Virtual Samurai,frog,47,2024-12-17,2025-02-01,47
frog3,Frog,frog,78,2024-11-13,2025-01-31,78
frogevip,Froge,froge,43,2024-12-13,2025-01-25,43
frox,Frox,frox,70,2024-11-23,2025-02-01,70
fu,FU,fu,81,2024-11-11,2025-02-01,81
fug,FUG,fug,52,2024-11-11,2025-01-30,52
fug2,fug,fug,77,2024-11-15,2025-02-01,77
fuku2,Fuku,fuku,71,2024-11-23,2025-02-01,71
furnancialadvisor,Fur-nancial advisor,fur,75,2024-11-19,2025-02-01,75
fxn,FXN,fxn,59,2024-12-05,2025-02-01,59
gamestop,GME (Ethereum),gme,82,2024-11-11,2025-02-01,82
gameswift,GameSwift,gswift,82,2024-11-11,2025-02-01,82
gdog,GDOG,gdog,82,2024-11-11,2025-02-01,82
gegagedigedagedago,Gegagedigedagedago,nugget,69,2024-11-23,2025-02-01,69
gemini2,Gemini,gemini,77,2024-11-15,2025-02-01,77
gemxbt,gemxbt,gemxbt,47,2024-12-17,2025-02-01,47
generationalwealth3,Generational Wealth,wealth,78,2024-11-13,2025-02-01,78
genzquant,Gen Z Quant,quant,73,2024-11-21,2025-02-01,73
gikocat,Giko Cat,giko,82,2024-11-11,2025-02-01,82
ginnan,Ginnan,ginnan,62,2024-11-30,2025-01-31,62
ginnanthecat,Ginnan The Cat,ginnan,82,2024-11-11,2025-02-01,82
glorp,Glorp,glorp,74,2024-11-19,2025-02-01,74
glp1,GLP1,glp1,67,2024-11-27,2025-02-01,67
gluteusmaximusbyvirtuals,Gluteus Maximus by Virtuals,gluteu,36,2024-12-28,2025-02-01,36
gme,GME,gme,82,2024-11-11,2025-02-01,82
gmika,GMika,gmika,81,2024-11-11,2025-02-01,81
goatseusactii,Goatseus Act II,goatseus,66,2024-11-15,2025-01-20,66
gobi,GOBI,gobi,67,2024-11-27,2025-02-01,67
gondola,Gondola,gondola,81,2024-11-11,2025-02-01,81
gooby,Gooby,gooby,80,2024-11-11,2025-02-01,80
goodboy,GoodBoy,goodboy,38,2024-12-25,2025-02-01,38
goodmorning3,Good Morning!,gm,77,2024-11-15,2025-02-01,77
goofy2,GOOFY,goofy,28,2025-01-05,2025-02-01,28
gottitoken,Gotti Token,gotti,80,2024-11-11,2025-02-01,80
gou,Gou,gou,81,2024-11-11,2025-02-01,81
gout,GOUT,gout,71,2024-11-23,2025-02-01,71
gpuairich,GPU ai Rich,rich,46,2024-12-18,2025-02-01,46
griffainnewhedgefund,Griffain New Hedge Fund,citadail,38,2024-12-26,2025-02-01,38
groggobymattfurie,Groggo By Matt Furie,groggo,81,2024-11-11,2025-02-01,81
grok2,Grok,$grok,80,2024-11-12,2025-02-01,80
groyper,Groyper,groyper,82,2024-11-11,2025-02-01,82
grumpycatcoin,Grumpy Cat Coin,grumpy,71,2024-11-23,2025-02-01,71
gua,GUA,gua,68,2024-11-26,2025-02-01,68
guacamole,Guacamole,guac,82,2024-11-11,2025-02-01,82
gummy,GUMMY,gummy,82,2024-11-11,2025-02-01,82
h2w6gm6jz,h2w6gm6jz,h2w6gm6jz,43,2024-12-21,2025-02-01,43
habibisol,Habibi (Sol),habibi,82,2024-11-11,2025-02-01,82
hahayes,HahaYes,rizo,80,2024-11-12,2025-02-01,80
halforangedrinkinglemonade,Half Orange Drinking Lemonade,hodl,81,2024-11-11,2025-02-01,81
hami,HAMI,$hami,82,2024-11-11,2025-02-01,82
hana,Hana,hana,82,2024-11-11,2025-02-01,82
hanbao,Hanbao,hanbao,78,2024-11-15,2025-02-01,78
happycat2,Happy Cat,happy,67,2024-11-27,2025-02-01,67
harambe2,Harambe on Solana,harambe,77,2024-11-16,2025-02-01,77
harold,Harold,harold,81,2024-11-11,2025-02-01,81
haroldonsol,Harold,harold,70,2024-11-23,2025-02-01,70
harrypottertrumphomersimpson777inu,HarryPotterTrumpHomerSimpson777Inu,ethereum,82,2024-11-11,2025-02-01,82
hasbullascat,Hasbulla's Cat,barsik,78,2024-11-15,2025-02-01,78
hawk2,Hawk,hawk,82,2024-11-11,2025-02-01,82
heeeheee,HeeeHeee,heehee,81,2024-11-11,2025-02-01,81
hege,Hege,$hege,82,2024-11-11,2025-02-01,82
hehecat,hehe,hehe,82,2024-11-11,2025-02-01,82
hemule,Hemule,hemule,82,2024-11-11,2025-02-01,82
henlo,Henlo,henlo,10,2024-11-20,2024-11-30,10
hermythestallion,Hermy The Stallion,hermy,54,2024-12-10,2025-02-01,54
highaf,High AF,ath,63,2024-11-30,2025-02-01,63
hisnamegort,His name gort,gort,75,2024-11-19,2025-02-01,75
historyofpepe,History of Pepe,hope,82,2024-11-11,2025-02-01,82
hogefinance,Hoge Finance,hoge,81,2024-11-11,2025-02-01,81
honk,Honk,honk,82,2024-11-11,2025-02-01,82
hoppymeme,Hoppy,hoppy,60,2024-12-04,2025-02-01,60
horny,$horny,$horny,52,2024-12-12,2025-02-01,52
hotdoge2,Hot Doge,hotdoge,47,2024-12-17,2025-02-01,47
huahua,HUA HUA,huahua,65,2024-11-29,2025-02-01,65
hund,Hund,hund,82,2024-11-11,2025-02-01,82
huskyavax,Husky Avax,husky,81,2024-11-11,2025-02-01,81
iiiilovvvyouuuu,iiii lovvvv youuuu,ily,82,2024-11-11,2025-02-01,82
ilence,$ilence,$ilence,67,2024-11-27,2025-02-01,67
illuminaticoin,IlluminatiCoin,nati,82,2024-11-11,2025-02-01,82
ilovepuppies,I love puppies,puppies,81,2024-11-11,2025-02-01,81
imnotwrongimearly,imnotwrongimearly,early,74,2024-11-19,2025-02-01,74
inferno2,INFERNO,inf,82,2024-11-11,2025-02-01,82
infinitebackrooms,infinite backrooms,ib,81,2024-11-11,2025-02-01,81
intern,Intern,intern,69,2024-11-23,2025-02-01,69
internationalmemefund,International Meme Fund,imf,41,2024-12-13,2025-02-01,41
internosaur,Internosaur,$intern,54,2024-12-10,2025-02-01,54
inusol,INU,inu,80,2024-11-11,2025-02-01,80
iq50,IQ50,iq50,82,2024-11-11,2025-02-01,82
iq6900,IQ6900,iq,48,2024-12-16,2025-02-01,48
ito,ITO,$ito,80,2024-11-11,2025-02-01,80
jailbreakme,JailbreakMe,jail,50,2024-12-14,2025-02-01,50
jak,JAK,jak,63,2024-12-01,2025-02-01,63
jamcat,jam cat,jam,78,2024-11-15,2025-02-01,78
janrotherat,Janro The Rat,janro,60,2024-12-04,2025-02-01,60
jenhsunhuang,JHH,jhh,81,2024-11-11,2025-02-01,81
jeoboden,Jeo Boden,boden,82,2024-11-11,2025-02-01,82
jesuscoin,Jesus Coin,jesus,82,2024-11-11,2025-02-01,82
jewelsdagoat,Jewels Da Goat,jewels,74,2024-11-20,2025-02-01,74
jiffpom,Jiffpom,jiff,66,2024-11-27,2025-02-01,66
jinx,JINX,jinx,80,2024-11-12,2025-02-01,80
joecoin,Joe Coin,joe,78,2024-11-15,2025-02-01,78
johnmcaifee,John McAIfee,mcaifee,74,2024-11-19,2025-02-01,74
johnthecoin,John the Coin,john,80,2024-11-11,2025-02-01,80
joi,Joi,joi,73,2024-11-20,2025-02-01,73
jorkin,Jorkin,jorkin,74,2024-11-19,2025-02-01,74
justachillguy,Just a chill guy (ETH),chillguy,61,2024-12-03,2025-02-01,61
justbuy1worthofthiscoin,just buy $1 worth of this coin,$1,65,2024-11-29,2025-02-01,65
justiceforpeanut,JUSTICE FOR PEANUT,jfp,50,2024-12-14,2025-02-01,50
justiceforpnutandfred,Justice for Pnut and Fred,justice,66,2024-11-27,2025-02-01,66
k9financedao,K9 Finance DAO,knine,82,2024-11-11,2025-02-01,82
k9killedinshootout,K-9 Killed in Shootout,titan,74,2024-11-20,2025-02-01,74
kaiken,Kai Ken,kai,68,2024-11-11,2025-01-20,68
kandoai,KANDO AI,kando,39,2024-12-25,2025-02-01,39
kappy,Kappy,kappy,58,2024-12-06,2025-02-01,58
katanainu,Katana Inu,kata,82,2024-11-11,2025-02-01,82
keanu,Keanu,knu,69,2024-11-23,2025-02-01,69
keepgambling,Keep Gambling,gamble,55,2024-12-09,2025-02-01,55
